neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Lower West Side,41.85426,-87.67501,Private room,39,32,488,0
Avondale,41.93671,-87.70876,Entire home/apt,130,32,158,89
Lower West Side,41.8546,-87.65318,Private room,39,32,242,288
Hyde Park,41.79857,-87.59814,Private room,76,3,212,149
Near West Side,41.87728,-87.66383,Entire home/apt,149,2,308,312
Near North Side,41.90938,-87.64649,Entire home/apt,213,32,31,30
Kenwood,41.81545,-87.59936,Entire home/apt,304,3,54,141
Near North Side,41.89692,-87.63242,Entire home/apt,155,60,4,365
Near North Side,41.89758,-87.63341,Entire home/apt,175,160,2,365
Lake View,41.93701,-87.64096,Private room,75,32,64,18
Logan Square,41.916729062535445,-87.68841058015823,Private room,84,2,10,136
Near West Side,41.86971,-87.65939,Entire home/apt,75,32,33,292
Hermosa,41.93881,-87.74037,Entire home/apt,60,2,105,0
Near South Side,41.84876,-87.62278,Entire home/apt,150,32,55,0
Norwood Park,41.98033,-87.7979,Entire home/apt,99,2,101,77
Bridgeport,41.82368,-87.64159,Private room,50,5,31,317
Lake View,41.94119,-87.64719,Private room,129,2,172,324
Lake View,41.93868,-87.67115,Entire home/apt,120,3,55,43
Garfield Ridge,41.80418,-87.7525,Private room,48,14,82,0
West Town,41.9086,-87.67684,Private room,159,32,52,155
Lower West Side,41.85383,-87.67472,Private room,54,2,267,87
Lincoln Square,41.97969,-87.67463,Entire home/apt,129,60,0,0
Logan Square,41.92264,-87.71328,Entire home/apt,125,3,98,323
Rogers Park,42.00626,-87.66208,Entire home/apt,220,2,91,231
Avondale,41.93277,-87.72975,Private room,35,30,12,234
West Town,41.89558,-87.66585,Entire home/apt,158,3,109,174
East Garfield Park,41.88302,-87.7096,Private room,45,1,413,322
Garfield Ridge,41.80418,-87.7525,Private room,37,21,72,0
Rogers Park,42.0008,-87.6602,Entire home/apt,265,2,30,203
Rogers Park,42.00163,-87.66197,Entire home/apt,331,2,4,327
Rogers Park,41.99973,-87.66175,Private room,325,2,24,326
Lower West Side,41.85677,-87.64133,Private room,35,32,269,0
Logan Square,41.92723,-87.70807,Entire home/apt,185,2,207,287
Rogers Park,42.00098,-87.66049,Private room,322,2,91,154
Rogers Park,41.99974,-87.66208,Entire home/apt,325,2,28,321
Lake View,41.94808,-87.6531,Entire home/apt,283,2,175,244
Near West Side,41.88069,-87.68368,Entire home/apt,186,2,405,243
Irving Park,41.94706,-87.71326,Entire home/apt,88,2,226,121
Lincoln Park,41.92032,-87.66153,Entire home/apt,232,2,219,209
Lake View,41.9418,-87.64959,Private room,165,1,54,335
