neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Avondale,41.93495,-87.72365,Entire home/apt,80,2,8,294
Belmont Cragin,41.9308084,-87.7586628,Entire home/apt,57,1,7,179
Lincoln Park,41.92643253340141,-87.65170378420653,Entire home/apt,112,1,2,28
Lake View,41.94479,-87.64678,Entire home/apt,61,1,6,160
West Ridge,41.99653,-87.70326,Entire home/apt,71,1,6,170
West Ridge,41.9956,-87.7031,Entire home/apt,93,1,9,180
Rogers Park,42.011237,-87.6720984,Entire home/apt,93,1,4,171
Avondale,41.93716,-87.72048,Entire home/apt,88,1,0,169
West Town,41.89688,-87.67684,Entire home/apt,113,1,5,317
Lower West Side,41.85504,-87.66976,Entire home/apt,81,2,3,301
Lincoln Park,41.92591,-87.63714,Private room,40,32,0,264
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,152,32,0,337
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,151,32,0,356
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,154,32,0,230
Lincoln Square,41.97912783970872,-87.68907418690316,Entire home/apt,95,3,1,264
Uptown,41.96181,-87.65098,Entire home/apt,162,3,7,236
West Town,41.90166,-87.69274,Entire home/apt,118,1,5,346
Logan Square,41.9306,-87.71996,Entire home/apt,40,32,0,192
Logan Square,41.91806,-87.71139,Entire home/apt,127,1,1,71
Lake View,41.9453946,-87.6456073,Entire home/apt,61,1,6,175
Uptown,41.96657,-87.65934,Entire home/apt,59,1,11,173
West Ridge,42.01792,-87.68498,Entire home/apt,79,1,3,171
Hyde Park,41.80093,-87.59535,Entire home/apt,80,2,3,355
Hyde Park,41.80147,-87.59746,Entire home/apt,135,2,5,346
Hyde Park,41.8012,-87.59595,Entire home/apt,141,2,4,345
Grand Boulevard,41.80313,-87.61144,Entire home/apt,309,1,12,322
Logan Square,41.92942156950349,-87.72458027236875,Entire home/apt,99,3,1,62
Near South Side,41.85542,-87.62539,Entire home/apt,266,2,14,361
Near North Side,41.9029299,-87.6441632,Entire home/apt,139,32,0,337
West Town,41.8952397,-87.6551692,Entire home/apt,122,32,0,333
Lake View,41.9353386,-87.6434256,Entire home/apt,59,1,13,161
Near South Side,41.85422,-87.62573,Entire home/apt,253,2,5,329
Rogers Park,42.00082279999999,-87.6707466,Entire home/apt,65,7,1,0
Lincoln Square,41.97741,-87.67868,Entire home/apt,104,32,1,314
Edgewater,41.99278770067574,-87.65955642949477,Entire home/apt,87,1,1,347
Dunning,41.94515,-87.80778,Entire home/apt,220,1,0,365
Lake View,41.93774,-87.64519,Entire home/apt,69,1,3,9
Portage Park,41.96257,-87.77756,Entire home/apt,102,2,6,62
Near North Side,41.89026,-87.6358,Entire home/apt,275,2,9,174
West Town,41.9046731,-87.66807289999997,Entire home/apt,136,32,0,270
Woodlawn,41.77522829999999,-87.5954728,Private room,42,33,0,365
West Town,41.8981,-87.66594,Entire home/apt,200,1,5,334
Lake View,41.93766585612336,-87.6538147777319,Private room,47,2,8,113
Uptown,41.95590550000001,-87.65073149999999,Entire home/apt,78,1,1,365
Uptown,41.9567,-87.65012,Entire home/apt,85,1,2,365
Loop,41.887,-87.61575,Entire home/apt,194,6,5,143
Logan Square,41.91824137516668,-87.69449380190396,Entire home/apt,80,2,13,49
West Town,41.9046731,-87.66807289999997,Entire home/apt,160,32,0,318
Near South Side,41.86350729999999,-87.62375089999999,Entire home/apt,153,32,0,0
Lower West Side,41.85801,-87.66313,Entire home/apt,75,2,15,330
Near North Side,41.90175,-87.6272,Entire home/apt,116,2,2,302
Near South Side,41.85571,-87.62334,Entire home/apt,256,2,11,332
Woodlawn,41.7769881,-87.600701,Entire home/apt,56,32,1,332
Woodlawn,41.78223,-87.60751,Private room,45,32,0,86
West Ridge,41.99402,-87.70631,Entire home/apt,109,2,10,189
Grand Boulevard,41.80418,-87.62388,Entire home/apt,131,4,2,194
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,149,32,0,197
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,151,32,0,320
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,146,32,0,346
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,124,32,0,365
Norwood Park,41.99666,-87.79204,Private room,29,32,1,47
Hyde Park,41.79299,-87.59326,Entire home/apt,92,2,3,351
Lake View,41.9375873,-87.65380569999999,Private room,59,2,5,123
Lake View,41.9375873,-87.65380569999999,Private room,47,2,2,90
West Ridge,41.9942325,-87.7011167,Entire home/apt,125,2,0,179
East Garfield Park,41.8791,-87.69449,Private room,158,1,2,349
West Town,41.90686,-87.66743,Entire home/apt,71,1,6,4
West Town,41.8999672,-87.66431779999999,Entire home/apt,186,32,0,352
Lower West Side,41.85539,-87.65377,Entire home/apt,205,3,0,294
Lower West Side,41.857997,-87.670135,Private room,45,32,0,363
Irving Park,41.94457,-87.7373,Entire home/apt,76,2,2,0
Logan Square,41.9167058,-87.6725663,Entire home/apt,149,2,1,0
Edgewater,41.98336,-87.67013,Entire home/apt,50,32,2,109
West Town,41.89289,-87.65702,Entire home/apt,71,1,2,2
Woodlawn,41.777679555103525,-87.6034220836726,Entire home/apt,75,32,0,331
Near West Side,41.8763,-87.65371999999999,Entire home/apt,188,32,0,343
West Town,41.90072,-87.67833,Entire home/apt,103,1,3,9
Logan Square,41.92061926915731,-87.69436508840661,Entire home/apt,89,1,3,77
Lake View,41.935447541063446,-87.64797935767211,Entire home/apt,138,1,7,83
Woodlawn,41.78242403522356,-87.6097716063939,Private room,35,2,1,139
Near West Side,41.87094,-87.65396,Private room,55,5,2,332
West Town,41.91083,-87.68679,Entire home/apt,72,1,4,5
East Side,41.70711264605325,-87.53772005438805,Entire home/apt,99,33,0,230
Bridgeport,41.82881576674946,-87.64687367897614,Private room,85,32,0,90
Lincoln Park,41.92851,-87.64424,Entire home/apt,90,1,0,361
Albany Park,41.9675915,-87.7217455,Private room,40,7,0,353
Avondale,41.9341476729531,-87.69311081534426,Entire home/apt,153,2,11,222
Near West Side,41.8806434,-87.6487655,Entire home/apt,142,32,0,229
East Side,41.7015092,-87.5295414,Private room,34,2,1,90
Lake View,41.93473,-87.65384,Entire home/apt,63,1,6,135
Edgewater,41.9819,-87.66459,Entire home/apt,45,33,0,13
Lincoln Square,41.9789,-87.68967,Entire home/apt,114,2,1,0
Jefferson Park,41.9780246,-87.7874679,Private room,105,3,3,169
Near South Side,41.85502,-87.62546,Entire home/apt,216,2,2,346
Greater Grand Crossing,41.75239,-87.63636,Entire home/apt,115,32,0,365
Roseland,41.73407,-87.63346,Entire home/apt,154,2,0,361
Lake View,41.94720675635736,-87.65054328836061,Entire home/apt,75,32,0,217
Near West Side,41.88501,-87.64443,Entire home/apt,57,1,13,170
Grand Boulevard,41.80819,-87.62409,Entire home/apt,299,2,0,363
Loop,41.88776,-87.61637,Entire home/apt,180,90,0,365
Near North Side,41.90461,-87.62809,Entire home/apt,60,32,0,102
West Town,41.90664,-87.67333,Entire home/apt,100,33,0,365
West Ridge,41.99428192340661,-87.70699740605228,Entire home/apt,150,2,0,304
Rogers Park,41.99978,-87.67097,Entire home/apt,99,7,1,43
Loop,41.8772287,-87.6290111,Entire home/apt,127,32,0,229
West Town,41.8952397,-87.6551692,Entire home/apt,155,32,0,343
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,152,32,0,321
Logan Square,41.92328,-87.71732,Entire home/apt,250,2,5,169
South Chicago,41.7527185,-87.54955170000001,Entire home/apt,99,3,2,87
Portage Park,41.9549161765709,-87.75699141811731,Entire home/apt,85,32,0,281
Near North Side,41.896965078749446,-87.62852489948273,Private room,73,1,6,33
Near North Side,41.89165,-87.63529,Entire home/apt,68,89,0,227
West Town,41.90799848645514,-87.66672184066789,Entire home/apt,175,3,1,179
Near South Side,41.85395,-87.62532,Entire home/apt,241,2,9,349
North Lawndale,41.86704865251533,-87.70350256215133,Entire home/apt,143,2,0,163
Dunning,41.95393,-87.78704,Entire home/apt,119,2,3,327
Avondale,41.93343093277115,-87.68988844047546,Entire home/apt,97,2,5,7
Rogers Park,42.0085682,-87.6704349,Entire home/apt,69,28,1,336
Near North Side,41.89347,-87.62769,Entire home/apt,270,3,5,303
Near North Side,41.89097,-87.62285,Entire home/apt,219,32,0,330
West Town,41.89133,-87.65589,Entire home/apt,63,1,11,170
Albany Park,41.9666,-87.72278,Private room,42,3,1,295
Albany Park,41.9675915,-87.7217455,Private room,42,7,1,262
Albany Park,41.9675915,-87.7217455,Private room,34,7,3,266
Douglas,41.83919,-87.62291,Entire home/apt,89,32,0,139
Avondale,41.94051,-87.70798,Entire home/apt,82,2,5,39
Belmont Cragin,41.92146,-87.75266,Entire home/apt,102,2,0,346
Near North Side,41.9029299,-87.6441632,Entire home/apt,144,32,0,286
Norwood Park,41.99501856673511,-87.81241199432183,Entire home/apt,300,1,0,360
Lower West Side,41.8570307,-87.6561274,Entire home/apt,108,1,0,148
West Town,41.91159,-87.66711,Entire home/apt,157,3,5,89
Pullman,41.70288,-87.60216,Private room,24,33,0,365
Pullman,41.70384,-87.60389,Private room,55,33,0,365
Calumet Heights,41.73474689926197,-87.58471646438656,Entire home/apt,141,2,1,255
Near North Side,41.898904,-87.62797,Entire home/apt,162,32,0,278
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,149,32,0,348
Near South Side,41.85567,-87.62502,Entire home/apt,317,2,4,349
Albany Park,41.97303369999999,-87.74405759999999,Entire home/apt,175,32,0,179
Armour Square,41.85159,-87.63694,Entire home/apt,301,28,4,289
Uptown,41.95493,-87.65158,Entire home/apt,91,1,8,161
East Garfield Park,41.88415,-87.71015,Private room,45,1,2,354
Douglas,41.82814968179045,-87.61867275264682,Entire home/apt,303,2,5,251
Armour Square,41.85187,-87.63703,Entire home/apt,301,28,2,352
Lower West Side,41.8565159833902,-87.65730176293121,Entire home/apt,71,1,3,5
Belmont Cragin,41.932674037614646,-87.7871111074113,Entire home/apt,75,5,3,209
Lake View,41.93375331177288,-87.65248586560669,Entire home/apt,130,2,0,252
South Shore,41.76704,-87.58474,Private room,24,32,0,90
Near South Side,41.8532276,-87.6268499,Entire home/apt,117,1,5,285
Lake View,41.94138778177594,-87.65019138321503,Entire home/apt,200,2,3,304
Norwood Park,41.981197851857566,-87.80389745840952,Entire home/apt,71,32,1,364
Hyde Park,41.79928402573007,-87.59235428995154,Entire home/apt,126,2,1,321
Roseland,41.70393031685504,-87.61023417961992,Entire home/apt,119,3,1,353
East Garfield Park,41.87334819632758,-87.71571315268123,Entire home/apt,137,32,0,363
South Shore,41.75668,-87.57802,Entire home/apt,77,2,3,68
Rogers Park,42.0146897,-87.6694381,Entire home/apt,70,30,1,92
Lake View,41.95425,-87.66971,Entire home/apt,78,1,0,352
Logan Square,41.92383,-87.69369,Entire home/apt,76,2,7,267
Albany Park,41.97054,-87.71205,Entire home/apt,249,14,1,330
Near North Side,41.8981192,-87.6271617,Entire home/apt,136,32,3,82
West Town,41.8967894,-87.6567628,Entire home/apt,85,32,3,32
West Town,41.90788,-87.66273,Entire home/apt,67,1,4,4
Uptown,41.95696,-87.64995,Entire home/apt,68,1,3,365
Austin,41.91043149936288,-87.78780815733946,Entire home/apt,159,32,0,364
Rogers Park,42.01658,-87.66541,Entire home/apt,72,1,9,172
Lake View,41.93695,-87.64522,Entire home/apt,118,1,1,169
Hyde Park,41.80159917056052,-87.59866041534424,Entire home/apt,93,2,5,337
Portage Park,41.95532161986181,-87.7505791760822,Entire home/apt,46,32,1,260
Near North Side,41.910379744125,-87.63247609731823,Entire home/apt,69,30,1,257
Lincoln Park,41.91170913580898,-87.63382867459903,Entire home/apt,39,30,2,281
Uptown,41.9726779,-87.6580994,Entire home/apt,111,2,2,298
Washington Park,41.7949,-87.61664,Entire home/apt,72,2,5,178
Lake View,41.9551526,-87.6694809,Entire home/apt,10,1,1,353
Rogers Park,42.00776095444569,-87.66272138156941,Private room,40,1,1,70
Loop,41.8772287,-87.6290111,Entire home/apt,114,32,0,351
Near North Side,41.890516,-87.635955,Entire home/apt,149,32,0,334
Loop,41.8725288,-87.6308608,Entire home/apt,120,32,0,364
Near North Side,41.9105181,-87.6431621,Entire home/apt,224,2,2,308
Lake View,41.939169918506586,-87.65004747983095,Private room,98,33,0,108
Logan Square,41.92688,-87.709671,Entire home/apt,92,32,0,363
Near North Side,41.911148501044416,-87.63489584128257,Entire home/apt,90,32,0,221
Calumet Heights,41.73390761181248,-87.57904643563654,Entire home/apt,190,2,7,287
Portage Park,41.95666,-87.78441,Entire home/apt,228,2,0,280
West Ridge,41.98940332602662,-87.70243127941808,Entire home/apt,330,1,0,6
Loop,41.8860812,-87.63422229999998,Entire home/apt,132,32,0,349
Logan Square,41.9162618,-87.6869361,Entire home/apt,142,32,0,343
Logan Square,41.9162618,-87.6869361,Entire home/apt,140,32,0,348
Near South Side,41.86350729999999,-87.62375089999999,Entire home/apt,117,32,0,321
Near South Side,41.86350729999999,-87.62375089999999,Entire home/apt,131,32,1,308
Near South Side,41.86350729999999,-87.62375089999999,Entire home/apt,127,32,1,339
Humboldt Park,41.90823074825708,-87.71415331286816,Private room,52,32,0,365
Brighton Park,41.82383969624796,-87.700893385363,Entire home/apt,89,2,10,295
West Town,41.89062699999999,-87.6549064,Entire home/apt,53,1,7,169
Greater Grand Crossing,41.76414,-87.61036,Private room,53,32,0,365
Logan Square,41.92863034045848,-87.72110401804119,Entire home/apt,66,32,0,127
Edgewater,41.9979464,-87.66407389999999,Entire home/apt,98,2,12,317
Rogers Park,41.99865211831698,-87.66380026429614,Entire home/apt,108,2,13,299
West Town,41.89175,-87.65372,Entire home/apt,61,1,12,169
Loop,41.88413,-87.63025,Private room,192,1,17,53
Uptown,41.962037,-87.6670071,Entire home/apt,82,3,3,339
Lower West Side,41.856417679395015,-87.6564166828743,Entire home/apt,99,2,10,253
Mckinley Park,41.83427620707708,-87.68467094498939,Private room,100,1,2,275
Armour Square,41.84991,-87.63526,Private room,45,1,12,259
West Town,41.90242,-87.69434,Entire home/apt,105,2,7,352
Near North Side,41.8911616,-87.62226299999999,Entire home/apt,168,32,0,230
Near North Side,41.8911616,-87.62226299999999,Entire home/apt,270,32,0,274
Rogers Park,42.01159,-87.6657,Entire home/apt,70,1,1,9
Rogers Park,42.01083259531554,-87.67115770287842,Entire home/apt,70,1,3,9
Lake View,41.93915138752832,-87.65108446974082,Entire home/apt,57,1,2,171
Near West Side,41.88188239999999,-87.68910070000001,Private room,30,33,0,365
Near North Side,41.890516,-87.635955,Entire home/apt,132,32,1,343
Armour Square,41.848167000188994,-87.63446976383916,Private room,46,1,10,255
Lake View,41.95416,-87.66906,Entire home/apt,75,1,0,360
Avondale,41.93416,-87.71059,Private room,50,32,1,223
West Town,41.8940452,-87.6645188,Private room,60,28,0,59
Loop,41.8725288,-87.6308608,Entire home/apt,144,32,0,350
Hegewisch,41.65515,-87.55108,Entire home/apt,108,1,2,141
West Elsdon,41.79669927615561,-87.73202065396728,Private room,105,32,0,363
Washington Park,41.79776080403392,-87.60630402423023,Private room,73,1,10,310
Irving Park,41.9589839,-87.730333,Entire home/apt,59,1,4,169
Grand Boulevard,41.81628142072849,-87.62079491883061,Entire home/apt,75,2,1,77
Near North Side,41.90262,-87.63255,Entire home/apt,65,32,0,0
Near North Side,41.89052,-87.62296,Entire home/apt,212,2,1,132
Near West Side,41.8704687,-87.6625794,Entire home/apt,130,2,6,160
Logan Square,41.927101,-87.7043588,Entire home/apt,158,32,0,329
Near North Side,41.9029299,-87.6441632,Entire home/apt,119,32,0,331
Near North Side,41.9032387,-87.63486329999999,Entire home/apt,132,32,0,365
Uptown,41.95693,-87.6497,Entire home/apt,139,1,6,359
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,155,32,0,260
Bridgeport,41.84759526771854,-87.64702487043158,Private room,45,1,2,288
North Lawndale,41.85571687746268,-87.70458869817207,Entire home/apt,108,6,2,132
Rogers Park,42.01253,-87.66381,Entire home/apt,57,1,4,174
Beverly,41.7035911248304,-87.65812908805334,Entire home/apt,176,2,0,357
Uptown,41.96541,-87.66654,Entire home/apt,102,1,1,360
West Town,41.89682,-87.66113,Entire home/apt,81,1,8,346
Logan Square,41.92097254410717,-87.70311221256823,Entire home/apt,120,2,1,39
Uptown,41.96977,-87.65353,Entire home/apt,285,2,0,80
Douglas,41.8437077,-87.6165023,Entire home/apt,95,2,0,308
Near North Side,41.90146,-87.63666,Entire home/apt,336,3,7,288
Near North Side,41.91071249704623,-87.63664766053914,Entire home/apt,118,1,1,15
Uptown,41.9677933,-87.6552229,Entire home/apt,65,1,9,121
West Town,41.91080448014424,-87.67458394299958,Private room,25,32,0,365
West Pullman,41.67934489239559,-87.62586559052387,Private room,77,2,1,365
Loop,41.88538372043955,-87.62984037821218,Private room,192,1,9,58
Near West Side,41.88335,-87.67812,Entire home/apt,192,1,10,257
Near North Side,41.90504641334301,-87.62900817223186,Entire home/apt,40,32,0,137
West Town,41.89315,-87.66502,Private room,80,28,0,57
Lincoln Park,41.93068,-87.66871,Entire home/apt,67,1,2,3
West Town,41.90225542742974,-87.68078896284598,Entire home/apt,79,1,5,4
West Town,41.90217374037278,-87.6824162085052,Entire home/apt,69,1,5,6
Lake View,41.9462465117748,-87.64512629837786,Entire home/apt,70,1,0,10
Edgewater,41.9823189,-87.67370919999999,Entire home/apt,104,2,7,49
Avondale,41.93547870681129,-87.71789947314048,Entire home/apt,70,1,0,9
Avondale,41.935039281818746,-87.7208737550801,Entire home/apt,66,1,0,9
Loop,41.8725288,-87.6308608,Entire home/apt,119,32,0,315
Armour Square,41.83841493067419,-87.63199889369201,Entire home/apt,159,2,5,313
Rogers Park,41.9993,-87.66586,Entire home/apt,70,1,1,9
Lake View,41.94481017743195,-87.64416190392778,Entire home/apt,70,1,2,10
Lake View,41.94610585283991,-87.64515001142023,Entire home/apt,70,1,0,9
West Ridge,42.01934,-87.68524,Entire home/apt,70,1,1,9
Avondale,41.93487233206998,-87.7160875383356,Entire home/apt,66,1,2,7
Lake View,41.94496331498285,-87.65387435221683,Entire home/apt,70,1,1,8
Lake View,41.94437709960028,-87.64492717125069,Entire home/apt,70,1,3,9
Portage Park,41.95679705110321,-87.74724854037227,Entire home/apt,70,1,4,3
Lake View,41.94415251403089,-87.64459119341704,Entire home/apt,70,1,1,10
Bridgeport,41.84555936816936,-87.64728065490276,Private room,39,1,6,236
North Park,41.97356674231713,-87.71683394908906,Entire home/apt,132,1,2,114
Near North Side,41.89295380197193,-87.62979721848242,Entire home/apt,221,1,0,0
Hyde Park,41.7934587,-87.5946779,Private room,40,60,0,77
Montclare,41.93296,-87.79558,Entire home/apt,100,2,0,104
Near West Side,41.8793253,-87.6819041,Entire home/apt,147,2,8,315
Near North Side,41.90521,-87.63152,Entire home/apt,140,32,0,322
Lincoln Park,41.911658161235614,-87.64754421472807,Entire home/apt,118,3,3,288
Lincoln Park,41.92195931688447,-87.63999273380121,Entire home/apt,309,3,0,320
Lincoln Square,41.97617670156594,-87.67526842653751,Private room,55,1,1,30
Lower West Side,41.8484587506757,-87.68523189085427,Entire home/apt,203,2,1,71
Near North Side,41.89329909889363,-87.6179153255746,Entire home/apt,175,32,0,261
West Town,41.89226825742427,-87.66317516698926,Entire home/apt,128,2,1,363
Logan Square,41.92418058244831,-87.69367877941414,Private room,71,2,2,282
West Ridge,42.01438694719096,-87.68495653356736,Private room,29,2,2,92
Loop,41.87306020241679,-87.62888388628295,Entire home/apt,92,90,0,170
West Town,41.8938674448335,-87.66174950178053,Entire home/apt,128,2,2,365
Irving Park,41.9491033939609,-87.73770034783904,Entire home/apt,332,2,0,348
West Town,41.89170460565319,-87.66116481695336,Entire home/apt,148,2,2,351
Near North Side,41.890516,-87.635955,Entire home/apt,158,32,0,223
Logan Square,41.92547678874058,-87.69586360321077,Private room,65,2,0,279
West Town,41.89172084130558,-87.66119008721472,Entire home/apt,135,2,4,347
Near West Side,41.86669972405311,-87.68560639551734,Entire home/apt,85,2,3,10
Albany Park,41.9714841,-87.71306589999999,Private room,48,32,0,334
Logan Square,41.9206165427938,-87.71695562412054,Entire home/apt,128,2,0,79
Woodlawn,41.7775144,-87.6038562,Entire home/apt,221,2,4,315
Bridgeport,41.8443864,-87.63848,Private room,31,2,5,76
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,153,32,0,327
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,157,32,0,314
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,152,32,0,320
Near North Side,41.890516,-87.635955,Entire home/apt,200,32,0,94
Near North Side,41.8911616,-87.62226299999999,Entire home/apt,244,32,0,352
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,152,32,0,336
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,153,32,0,319
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,124,32,0,365
Bridgeport,41.84482324849346,-87.64066486394138,Entire home/apt,87,1,3,40
Lincoln Park,41.91623538214005,-87.63813196156829,Entire home/apt,226,2,1,352
Lower West Side,41.85887997779639,-87.67386134464768,Entire home/apt,99,2,3,294
Bridgeport,41.82490625756255,-87.63954543242116,Entire home/apt,89,2,1,85
Loop,41.8772287,-87.6290111,Entire home/apt,128,32,0,223
Near North Side,41.89979681841375,-87.62103075088761,Entire home/apt,294,2,11,141
Lake View,41.93893635861026,-87.6552412379478,Entire home/apt,125,32,0,88
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,150,32,0,337
Jefferson Park,41.9749796,-87.7616176,Entire home/apt,86,1,15,140
Rogers Park,42.01111138462705,-87.67611295767212,Entire home/apt,166,2,2,341
Uptown,41.95659431959478,-87.65148278321993,Entire home/apt,71,1,3,358
Loop,41.88384,-87.62796,Private room,192,1,14,64
Austin,41.87911529419599,-87.77340741474436,Entire home/apt,161,3,6,297
Loop,41.883912348741696,-87.62969354144141,Private room,192,1,0,66
Portage Park,41.94505517660977,-87.76978762415129,Entire home/apt,109,2,5,102
Loop,41.88386255848874,-87.63009639524205,Private room,192,1,4,66
Loop,41.88407983227038,-87.62811298077611,Private room,192,1,6,63
Lincoln Park,41.91201644400195,-87.63400521814037,Entire home/apt,288,2,6,341
Rogers Park,41.99891559531472,-87.66409290983077,Entire home/apt,110,2,3,299
Loop,41.88531185092463,-87.62800989833387,Private room,192,1,3,0
West Ridge,42.00473,-87.69156,Entire home/apt,275,1,3,357
Dunning,41.94978363408749,-87.80781393769405,Entire home/apt,150,1,0,298
Lake View,41.95447550889623,-87.67043441248222,Entire home/apt,83,1,3,13
Edgewater,41.99681329568612,-87.66324302797128,Entire home/apt,98,2,3,317
Lower West Side,41.85944886546159,-87.64781349083306,Entire home/apt,103,2,4,288
Austin,41.89904444788441,-87.75434643861371,Entire home/apt,93,2,0,200
Logan Square,41.92257,-87.70169,Private room,50,2,0,126
Hyde Park,41.79765099999999,-87.5899872,Entire home/apt,355,2,6,57
Near North Side,41.8950138,-87.62791490000001,Entire home/apt,183,32,0,204
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,155,32,0,215
Loop,41.8860812,-87.63422229999998,Entire home/apt,173,32,0,0
Near North Side,41.893596970172965,-87.61709226698686,Entire home/apt,100,33,1,225
Near West Side,41.86966582583479,-87.66317542021473,Entire home/apt,115,2,9,186
Hyde Park,41.7974989,-87.5901416,Entire home/apt,222,2,3,40
Hyde Park,41.7974989,-87.5901416,Entire home/apt,237,2,6,27
Austin,41.884077403544815,-87.74818815359687,Entire home/apt,331,32,0,363
Kenwood,41.80431865965395,-87.58586817007328,Entire home/apt,136,1,2,332
Lake View,41.93819262481946,-87.66647390076497,Entire home/apt,127,2,5,324
Near North Side,41.8911616,-87.62226299999999,Entire home/apt,172,32,0,351
Near North Side,41.89743385433994,-87.62545320841305,Entire home/apt,158,1,0,153
Near South Side,41.855753337435466,-87.62502147550161,Entire home/apt,240,2,2,352
Albany Park,41.9724101700967,-87.72098531015557,Private room,32,1,1,352
Albany Park,41.9724082303604,-87.71889124999167,Private room,46,2,2,325
Avondale,41.9402984997159,-87.71291161336553,Private room,65,1,1,13
Edgewater,41.99126188937719,-87.67162565141916,Entire home/apt,112,2,0,244
Lake View,41.94108610446574,-87.65755969731994,Entire home/apt,167,2,3,251
Lake View,41.9368800541581,-87.64982117896399,Entire home/apt,72,1,6,171
West Town,41.89252838947473,-87.66216849253192,Entire home/apt,178,2,5,70
Woodlawn,41.78203946605952,-87.61392391427937,Entire home/apt,105,2,9,289
Rogers Park,42.0154497,-87.66453299999999,Entire home/apt,88,2,2,153
Albany Park,41.97286063397071,-87.71880555751281,Private room,45,1,2,354
Albany Park,41.97234765286368,-87.7209838915247,Entire home/apt,152,1,0,350
West Ridge,42.01776176898813,-87.68555566980066,Entire home/apt,93,1,5,179
Near South Side,41.85314,-87.62547,Entire home/apt,219,2,4,348
Near South Side,41.85496,-87.62514,Entire home/apt,243,2,3,358
Near North Side,41.89094303979051,-87.62255242099623,Entire home/apt,143,2,0,10
Near South Side,41.85320948776386,-87.62555327851649,Entire home/apt,237,2,1,356
West Town,41.890205,-87.661281,Entire home/apt,275,1,2,292
Edgewater,41.9860247,-87.66422229999999,Entire home/apt,145,1,0,360
Lake View,41.95017,-87.65839,Entire home/apt,203,1,1,139
Near South Side,41.8670646,-87.6231114,Entire home/apt,134,32,0,358
Albany Park,41.96620312977344,-87.71067652619966,Entire home/apt,130,2,0,132
Bridgeport,41.8443864,-87.63848,Private room,38,2,1,41
Greater Grand Crossing,41.76667355506756,-87.62077514753766,Entire home/apt,189,1,2,323
Greater Grand Crossing,41.765978883638006,-87.62014282050649,Entire home/apt,189,1,3,357
West Town,41.907195,-87.693568,Entire home/apt,184,2,1,262
Avondale,41.9408818,-87.7137788,Private room,44,1,4,20
Uptown,41.96542536388,-87.66612279906086,Entire home/apt,303,2,0,18
Near South Side,41.85411,-87.62321,Entire home/apt,253,2,2,351
Edgewater,41.98860938944274,-87.6660465024993,Entire home/apt,59,1,0,328
Near South Side,41.85518865829032,-87.62538386431704,Entire home/apt,256,2,1,359
Bridgeport,41.84510915909321,-87.63921570987263,Private room,30,2,4,57
South Shore,41.7725972,-87.57547269999999,Entire home/apt,30,32,0,365
Near North Side,41.8911616,-87.62226299999999,Entire home/apt,190,32,0,272
Near North Side,41.8911616,-87.62226299999999,Entire home/apt,190,32,0,255
Lake View,41.9479383,-87.6594854,Entire home/apt,88,1,8,65
Near North Side,41.8913478,-87.6373584,Entire home/apt,140,32,0,332
Lake View,41.95046,-87.65234,Entire home/apt,297,2,3,316
Near South Side,41.855300285946406,-87.62544509757728,Entire home/apt,256,2,1,349
Avondale,41.9408818,-87.7137788,Private room,59,1,1,23
Avondale,41.9408818,-87.7137788,Entire home/apt,220,1,0,145
Bridgeport,41.84416024458566,-87.65856017562447,Private room,30,32,0,352
South Chicago,41.74835622561508,-87.5614180216181,Entire home/apt,91,3,1,304
Near South Side,41.85485631741713,-87.62445263049007,Entire home/apt,243,2,1,318
Logan Square,41.9142495,-87.6984042,Entire home/apt,103,1,5,164
Near South Side,41.85330329556365,-87.62380202817235,Entire home/apt,243,2,4,305
Lower West Side,41.84857347550998,-87.68482847345504,Private room,38,5,1,332
West Lawn,41.78256377777187,-87.72504083812237,Entire home/apt,115,32,0,365
Humboldt Park,41.897358269380994,-87.72907289465488,Entire home/apt,65,1,2,61
Armour Square,41.838916,-87.634489,Entire home/apt,69,32,0,89
Loop,41.8864623,-87.6201026,Entire home/apt,215,32,0,90
West Ridge,41.98986812129824,-87.70394651524367,Private room,48,1,2,13
Near South Side,41.865495531042754,-87.62644646985164,Private room,88,1,0,3
Near South Side,41.86485430282529,-87.62824093627434,Private room,72,1,0,1
Near South Side,41.85562280755441,-87.62389632251933,Entire home/apt,303,2,1,347
